Category,Developer's Advertising or Marketing,Analytics,App Functionality,Other Purposes,Tracking,Third-Party Advertising,Product Personalization
Games,2054,3464,3072,673,5972,3208,1831
Finance,634,1206,1650,232,754,298,718
Shopping,1310,2637,3626,399,2522,710,2479
Photo & Video,243,504,511,75,1054,315,216
Food & Drink,1098,1464,2072,235,908,259,1346
Travel,704,1381,2100,238,1036,352,971
Music,255,457,493,62,617,279,253
Entertainment,481,858,961,125,1259,536,556
Lifestyle,849,1796,2451,279,1232,433,1377
Productivity,307,809,1118,131,794,242,370
Social Networking,523,1204,1945,252,1167,447,1004
Utilities,219,647,739,100,1108,359,216
Health & Fitness,823,1584,2087,258,1113,377,1110
Business,128,312,418,64,132,37,187
Education,366,835,1097,166,860,297,465
News,955,957,1392,183,1791,769,680
Sports,680,1091,1599,315,804,334,825
Reference,134,286,316,32,447,190,155
Books,111,200,243,31,309,112,159
Weather,85,235,328,78,662,250,90
Navigation,204,382,563,57,410,166,199
Medical,275,660,944,154,284,104,460
Graphics & Design,89,214,225,31,517,143,80
Magazines & Newspapers,51,100,112,3,83,20,68
Developer Tools,6,26,30,4,52,18,9
